year,state,party,candidate,votes
2012,West Virginia,Democratic,Barack Obama,238269
2012,West Virginia,Republican,Mitt Romney,417655
2012,Wisconsin,Democratic,Barack Obama,1620985
2012,Wisconsin,Republican,Mitt Romney,1407966
2012,Wyoming,Democratic,Barack Obama,69286
2012,Wyoming,Republican,Mitt Romney,170962
2016,Alabama,Democratic,Hillary Clinton,729547
2016,Alabama,Republican,Donald Trump,1318255
2016,Alaska,Democratic,Hillary Clinton,116454
2016,Alaska,Republican,Donald Trump,163387
2016,Arizona,Democratic,Hillary Clinton,1161167
2016,Arizona,Republican,Donald Trump,1252401
2016,Arkansas,Democratic,Hillary Clinton,380494
2016,Arkansas,Republican,Donald Trump,684872
2016,California,Democratic,Hillary Clinton,8753788
2016,California,Republican,Donald Trump,4483810
2016,Colorado,Democratic,Hillary Clinton,1338870
2016,Colorado,Republican,Donald Trump,1202484
2016,Connecticut,Democratic,Hillary Clinton,897572
2016,Connecticut,Republican,Donald Trump,673215
2016,Delaware,Democratic,Hillary Clinton,235603
2016,Delaware,Republican,Donald Trump,185127
2016,District of Columbia,Democratic,Hillary Clinton,282830
2016,District of Columbia,Republican,Donald Trump,12723
2016,Florida,Democratic,Hillary Clinton,4504975
2016,Florida,Republican,Donald Trump,4617886
2016,Georgia,Democratic,Hillary Clinton,1877963
2016,Georgia,Republican,Donald Trump,2089104
2016,Hawaii,Democratic,Hillary Clinton,266891
2016,Hawaii,Republican,Donald Trump,128847
2016,Idaho,Democratic,Hillary Clinton,189765
2016,Idaho,Republican,Donald Trump,409055
2016,Illinois,Democratic,Hillary Clinton,3090729
2016,Illinois,Republican,Donald Trump,2146015
2016,Indiana,Democratic,Hillary Clinton,1033126
2016,Indiana,Republican,Donald Trump,1557286
2016,Iowa,Democratic,Hillary Clinton,653669
2016,Iowa,Republican,Donald Trump,800983
2016,Kansas,Democratic,Hillary Clinton,427005
2016,Kansas,Republican,Donald Trump,671018
2016,Kentucky,Democratic,Hillary Clinton,628854
2016,Kentucky,Republican,Donald Trump,1202971
2016,Louisiana,Democratic,Hillary Clinton,780154
2016,Louisiana,Republican,Donald Trump,1178638
2016,Maine,Democratic,Hillary Clinton,357735
2016,Maine,Republican,Donald Trump,335593
2016,Maine's 1st congressional district,Democratic,Hillary Clinton,212774
2016,Maine's 1st congressional district,Republican,Donald Trump,154384
2016,Maine's 2nd congressional district,Democratic,Hillary Clinton,144817
2016,Maine's 2nd congressional district,Republican,Donald Trump,181177
2016,Maryland,Democratic,Hillary Clinton,1677928
2016,Maryland,Republican,Donald Trump,943169
2016,Massachusetts,Democratic,Hillary Clinton,1995196
2016,Massachusetts,Republican,Donald Trump,1090893
2016,Michigan,Democratic,Hillary Clinton,2268839
2016,Michigan,Republican,Donald Trump,2279543
2016,Minnesota,Democratic,Hillary Clinton,1367716
2016,Minnesota,Republican,Donald Trump,1322951
2016,Mississippi,Democratic,Hillary Clinton,485131
2016,Mississippi,Republican,Donald Trump,700714
2016,Missouri,Democratic,Hillary Clinton,1071068
2016,Missouri,Republican,Donald Trump,1594511
2016,Montana,Democratic,Hillary Clinton,177709
2016,Montana,Republican,Donald Trump,279240
2016,Nebraska,Democratic,Hillary Clinton,284494
2016,Nebraska,Republican,Donald Trump,495961
2016,Nebraska's 1st congressional district,Democratic,Hillary Clinton,100126
2016,Nebraska's 1st congressional district,Republican,Donald Trump,158626
2016,Nebraska's 2nd congressional district,Democratic,Hillary Clinton,131030
2016,Nebraska's 2nd congressional district,Republican,Donald Trump,137564
2016,Nebraska's 3rd congressional district,Democratic,Hillary Clinton,53290
2016,Nebraska's 3rd congressional district,Republican,Donald Trump,199657
2016,Nevada,Democratic,Hillary Clinton,539260
2016,Nevada,Republican,Donald Trump,512058
2016,New Hampshire,Democratic,Hillary Clinton,348526
2016,New Hampshire,Republican,Donald Trump,345790
2016,New Jersey,Democratic,Hillary Clinton,2148278
2016,New Jersey,Republican,Donald Trump,1601933
2016,New Mexico,Democratic,Hillary Clinton,385234
2016,New Mexico,Republican,Donald Trump,319667
2016,New York,Democratic,Hillary Clinton,4556124
2016,New York,Republican,Donald Trump,2819534
2016,North Carolina,Democratic,Hillary Clinton,2189316
2016,North Carolina,Republican,Donald Trump,2362631
2016,North Dakota,Democratic,Hillary Clinton,93758
2016,North Dakota,Republican,Donald Trump,216794
2016,Ohio,Democratic,Hillary Clinton,2394164
2016,Ohio,Republican,Donald Trump,2841005
2016,Oklahoma,Democratic,Hillary Clinton,420375
2016,Oklahoma,Republican,Donald Trump,949136
2016,Oregon,Democratic,Hillary Clinton,1002106
2016,Oregon,Republican,Donald Trump,782403
2016,Pennsylvania,Democratic,Hillary Clinton,2926441
2016,Pennsylvania,Republican,Donald Trump,2970733
2016,Rhode Island,Democratic,Hillary Clinton,252525
2016,Rhode Island,Republican,Donald Trump,180543
2016,South Carolina,Democratic,Hillary Clinton,855373
2016,South Carolina,Republican,Donald Trump,1155389
2016,South Dakota,Democratic,Hillary Clinton,117458
2016,South Dakota,Republican,Donald Trump,227721
2016,Tennessee,Democratic,Hillary Clinton,870695
2016,Tennessee,Republican,Donald Trump,1522925
2016,Texas,Democratic,Hillary Clinton,3877868
2016,Texas,Republican,Donald Trump,4685047
2016,Utah,Democratic,Hillary Clinton,310676
2016,Utah,Republican,Donald Trump,515231
2016,Vermont,Democratic,Hillary Clinton,178573
2016,Vermont,Republican,Donald Trump,95369
2016,Virginia,Democratic,Hillary Clinton,1981473
2016,Virginia,Republican,Donald Trump,1769443
2016,Washington,Democratic,Hillary Clinton,1742718
2016,Washington,Republican,Donald Trump,1221747
2016,West Virginia,Democratic,Hillary Clinton,188794
2016,West Virginia,Republican,Donald Trump,489371
2016,Wisconsin,Democratic,Hillary Clinton,1382536
2016,Wisconsin,Republican,Donald Trump,1405284
2016,Wyoming,Democratic,Hillary Clinton,55973
2016,Wyoming,Republican,Donald Trump,174419
